location,package,name,nvloc,cloc,cd
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java,org.jfree.chart.axis,Axis,1547,43,0.027795733678086618
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisCollection.java,org.jfree.chart.axis,AxisCollection,127,40,0.31496062992125984
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,org.jfree.chart.axis,AxisLabelLocation,49,38,0.7755102040816326
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLocation.java,org.jfree.chart.axis,AxisLocation,81,39,0.48148148148148145
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisSpace.java,org.jfree.chart.axis,AxisSpace,342,38,0.1111111111111111
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisState.java,org.jfree.chart.axis,AxisState,175,42,0.24
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,org.jfree.chart.axis,CategoryAnchor,48,39,0.8125
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java,org.jfree.chart.axis,CategoryAxis,1300,39,0.03
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,org.jfree.chart.axis,CategoryLabelPosition,229,40,0.17467248908296942
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,org.jfree.chart.axis,CategoryLabelPositions,366,39,0.10655737704918032
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,org.jfree.chart.axis,CategoryLabelWidthType,45,38,0.8444444444444444
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryTick.java,org.jfree.chart.axis,CategoryTick,132,38,0.2878787878787879
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CompassFormat.java,org.jfree.chart.axis,CompassFormat,140,39,0.2785714285714286
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,org.jfree.chart.axis,CyclicNumberAxis,1048,37,0.035305343511450385
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateAxis.java,org.jfree.chart.axis,DateAxis,1673,56,0.03347280334728033
