location,package,name,creationDate
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLocation.java,org.jfree.chart.axis,AxisLocation,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisSpace.java,org.jfree.chart.axis,AxisSpace,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisState.java,org.jfree.chart.axis,AxisState,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,org.jfree.chart.axis,CategoryAnchor,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java,org.jfree.chart.axis,CategoryAxis,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,org.jfree.chart.axis,CategoryLabelPosition,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,org.jfree.chart.axis,CategoryLabelPositions,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,org.jfree.chart.axis,CategoryLabelWidthType,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryTick.java,org.jfree.chart.axis,CategoryTick,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CompassFormat.java,org.jfree.chart.axis,CompassFormat,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,org.jfree.chart.axis,CyclicNumberAxis,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateAxis.java,org.jfree.chart.axis,DateAxis,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTick.java,org.jfree.chart.axis,DateTick,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,org.jfree.chart.axis,DateTickMarkPosition,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickUnit.java,org.jfree.chart.axis,DateTickUnit,2022-06-18
C:\Users\leade\Desktop\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickUnitType.java,org.jfree.chart.axis,DateTickUnitType,2022-06-18
