C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\Axis.java,org.jfree.chart.axis,Axis,7,1547
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisCollection.java,org.jfree.chart.axis,AxisCollection,1,127
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,org.jfree.chart.axis,AxisLabelLocation,1,49
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisLocation.java,org.jfree.chart.axis,AxisLocation,2,81
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisSpace.java,org.jfree.chart.axis,AxisSpace,7,342
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\AxisState.java,org.jfree.chart.axis,AxisState,11,175
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,org.jfree.chart.axis,CategoryAnchor,1,48
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java,org.jfree.chart.axis,CategoryAxis,13,1300
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,org.jfree.chart.axis,CategoryLabelPosition,3,229
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,org.jfree.chart.axis,CategoryLabelPositions,3,366
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,org.jfree.chart.axis,CategoryLabelWidthType,3,45
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryTick.java,org.jfree.chart.axis,CategoryTick,2,132
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CompassFormat.java,org.jfree.chart.axis,CompassFormat,140
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,org.jfree.chart.axis,CyclicNumberAxis,8,1048
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\DateAxis.java,org.jfree.chart.axis,DateAxis,13,1673
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTick.java,org.jfree.chart.axis,DateTick,3,120
C:\Users\leade\Desktop\IFT3913-TP1\jfreechart-master\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,org.jfree.chart.axis,DateTickMarkPosition,1,53
